Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Priority,Status,Labels,Labels,Labels,Created,Reporter,Reporter Id,Custom field (Story Points),Custom field (Quarter Plan),Custom field (Quarter Plan),Assignee,Assignee Id,Remaining Estimate,Time Spent,Custom field (Total Work Level Hours)
Story,AWAMWRS-9122,3423987,[HK/data] Review Self-Cert form date and CTC date,2815667,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,High,In progress,GAP,,,12/31/25 10:45,Dorothy Lo,62f606ecda8620d533958439,5,2026.1,,Ehsan Li,62d07096a94a6f9c0eff0ed7,57600,7200,
Sub-task,AWAMWRS-9102,3386384,[HK/Phoenix] Adding new functions of deleting existing and adding new Controlling Person/Company Director/Authorized Signatory/Shareholder in-one-go maintenance under Corporate Maintenance,1691012,AWAMWRS-5770,[HK/Phoenix] All in one maintenance implementation,Critical,Validating,Enhancement,,,12/23/25 14:41,David Lam,712020:c4113417-f9d8-40e6-99a1-cf3865496505,5,2026.1,,Faye Chen,62d070fabb346bdf82faed3a,57600,86400,
Task,AWAMWRS-8740,3064621,[HK] Re-enable Automated Emails for KYC Reactivation,2331855,AWAMWRS-7829,[HK] KYC Enhancement 2025 Follow Up Q3/4,High,In progress,,,,11/5/25 9:28,Candy Mok,61a80b67b43d5b006a6ef66b,3,2026.1,,Ezekiel Quintans,712020:666725b3-c6c2-46e6-8010-4a417a554ce1,57600,86400,
Task,AWAMWRS-8193,2557304,[HK/Phoenix/Tech] Patch unexpected null assesssment_question_id and null response in client_assessment_results table,2815667,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,High,In progress,Enhancement,,,8/29/25 16:52,Dorothy Lo,62f606ecda8620d533958439,3,2026.1,,Rozwel Li,712020:5961d129-51ae-4822-ae22-dfed75571365,57600,93600,
Story,AWAMWRS-8035,2424347,[HK/Phoenix] Adding more search criteria of Pending Task and Historical Task under Workflow,2884970,AWAMWRS-8511,[HK/Phoenix]  Phoenix General Function Enhancement (25Q4),Critical,Validating,Enhancement,,,8/11/25 10:44,Joan Ching,712020:3df01112-e9ff-472f-96b5-b710d9dc2c77,5,2026.1,,Harshini Anbazhagan,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,57600,86400,
Story,AWAMWRS-7783,2298859,[HK/Phoenix] Day 2 Data Fields - Enhance Individual and Corporate Client Profile Tab,1767029,AWAMWRS-6257,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Phoenix Client Profile Tab Fields Update​,Critical,In progress,Enhancement,,,7/17/25 18:14,David Lam,712020:c4113417-f9d8-40e6-99a1-cf3865496505,15,2025.4,,Faye Chen,62d070fabb346bdf82faed3a,57600,576000,
Story,AWAMWRS-6597,1813907,[HK] Review RPQ config and enhance with 1 Active version only,2815667,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,Critical,To Do,Enhancement,,,4/11/25 16:18,Dorothy Lo,62f606ecda8620d533958439,13,2026.1,,Rozwel Li,712020:5961d129-51ae-4822-ae22-dfed75571365,57600,28800,
Story,AWAMWRS-9056,3300634,[HK] WRS Phoenix - Add validation for custom net worth value.,3410301,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,TBD,Validating,2025_PRB_Top02,,,12/9/25 9:22,Kenive Chan,5fc8254f78f018007680e85d,3,2026.1,,Harshini Anbazhagan,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,43200,25200,
Story,AWAMWRS-8788,3097347,[HK/data] Review tax remarks -part2,2815667,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,Critical,Validating,GAP,,,11/11/25 17:18,Dorothy Lo,62f606ecda8620d533958439,3,2025.4,,Ehsan Li,62d07096a94a6f9c0eff0ed7,36000,,
Task,AWAMWRS-9112,3407564,[SG] Enhance aum process,2672999,AWAMWRS-8314,[SG] KLO SG Production Fixes Q4 2025,Critical,Done,,,,12/29/25 15:27,Maxed Bacallo,636d527196243ac755ee7f65,3,2025.4,,Oliver Liu,712020:7b1c7c70-c493-4c02-b1c0-c3de2e6eb7ee,28800,86400,
